zip,lat,lon
40914,37.093190836367526,-83.56152965058408
42031,36.68739971610152,-88.98865364521316
40844,37.055070100901716,-83.35407411910788
42782,37.34474717661738,-85.63701134291904
40923,36.92062954891816,-83.84920691477687
41759,37.23212425577965,-83.02523009675032
41622,37.513791248742365,-82.80932594971905
41607,37.62217030754858,-82.8437573555223
40051,37.65286685753179,-85.57946107869621
42339,37.11325985290825,-86.95034186419754
41234,37.79654719026835,-82.74163834974243
41669,37.33377168916633,-82.7147030481766
42153,36.68003403104315,-86.04239375882521
41848,37.114876543923344,-82.94389763146701
40874,36.98403658924658,-83.47344249305849
41831,37.38532513674622,-82.9463445694657
41567,37.56893200826645,-82.2862201923472
41775,37.09369205812082,-83.34203802825306
42372,37.40586589712761,-87.27732303182879
40157,38.02109399754353,-86.37692257297346
42753,37.22298155599799,-85.17411310048713
41719,37.29730448209471,-83.24519387215359
40737,37.00837710299924,-84.13896640337475
40863,36.74050683581231,-83.44570167590754
47551,38.12154072895135,-86.56351386520913
47358,40.054870334608005,-85.11202691338924
47550,38.06212481167374,-86.9287560807387
47634,37.9389233378596,-87.18480821010824
47393,39.96559969359301,-85.00322727073473
47302,40.129918968400474,-85.37552374297665
46507,41.72135362886856,-85.8157458568305
47201,39.15075289942106,-85.99434163270999
46001,40.25142269265877,-85.6583907879594
47327,39.83180569777605,-85.17314253633494
47345,39.89200909790995,-85.047596636822
47711,38.015691261149136,-87.53610788307732
47339,39.96332710756379,-85.09468402194219
46063,40.27179436657254,-85.7239606239988
47832,39.87881088255391,-87.25461532404249
46011,40.12760205620531,-85.76175994024067
46902,40.437407542566405,-86.09108312250459
46807,41.04489371237945,-85.14757456663844
46806,41.046469395480166,-85.09219269937122
47396,40.18660011682297,-85.51631640885347
46545,41.69375879719348,-86.14601898099299
47992,40.31932711029419,-87.05192276738661
46517,41.624282140086436,-85.99674720420698
46013,40.050217351076164,-85.67829967653402
46221,39.692857155273934,-86.23667908427745
46241,39.723904384543395,-86.26841460578095
46239,39.72310600304357,-86.00037961907285
47342,40.32185607586545,-85.51050795626017
47161,38.322793806369276,-86.10364744887873
46928,40.40765725640881,-85.68618787156029
46537,41.45731341200185,-86.30658401890763
46409,41.548260430544644,-87.32422847890275
46789,41.58267092772966,-85.19740293451136
46965,40.41599384663385,-86.10182568230206
46703,41.65305277427314,-85.00975439311343
46104,39.66042591191059,-85.59548597907833
46943,40.97351219519384,-85.84039751215822
46984,40.66773713176011,-85.82978876334575
47574,37.95264895615786,-86.56320488350252
46998,40.57546345737646,-86.3508211553107
47160,38.147929007957146,-86.04706203476417
47876,39.50995769398268,-87.46106951592631
46937,40.41534782639176,-86.03693021077338
47324,39.741177967187326,-84.85172061000787
46624,41.70251077883076,-86.25163348515034
46374,41.20613995342408,-86.89497158340305
47501,38.66137818359177,-87.17481029507704
47868,39.40890056493484,-86.89822081064541
47512,38.77904134751907,-87.3180767511394
47978,40.97989310809757,-87.11631697575014
46226,39.83966571316092,-86.05117143266416
47942,40.68791220406432,-87.44722521155849
47921,40.47839807974684,-87.37486378763393
47922,40.87619878231872,-87.3536729329447
46268,39.89770047998983,-86.23256321184844
46228,39.84873405672971,-86.20039010304004
46208,39.823105121343765,-86.17301926758954
46381,41.17632236975833,-87.33445982037864
47546,38.42070917190929,-86.93467606811332
46574,41.4732633791891,-86.48827700625752
46133,39.589465081751584,-85.30042711393104
46371,41.67681792186885,-86.6005388566532
46770,40.829784590350926,-85.31873049036668
47712,37.92870364016801,-87.65951084347374
46408,41.544662062967035,-87.36944552525205
46394,41.68211214475366,-87.49964680001244
46321,41.54704167955977,-87.50404731960238
46511,41.22181773420685,-86.42886500038513
47431,39.240489079538364,-86.90653980996399
46974,40.94839001725729,-85.93038971198439
46931,40.946907118634094,-86.26455166501721
47031,39.12873445798688,-85.1533346735854
47006,39.291390526308305,-85.21365557065396
47164,38.404633684202636,-86.09077017619035
46737,41.722090467383524,-84.92224463511279
47229,38.802873763775004,-85.86683612272685
47356,40.030798453803314,-85.50415279914006
47010,39.49814120527165,-84.83922162012172
46580,41.208840468905436,-85.87209929030018
47042,39.01248541656923,-85.25485329870838
47106,38.46069255415128,-85.9032693829982
47023,39.072577312278106,-85.37462508026435
47388,40.005449100779416,-85.44370473083724
47857,39.52403379929934,-87.09111182364705
46181,39.380476029522455,-86.16117943187712
46126,39.62054008645506,-85.88695018855017
46961,40.76570448570652,-86.1876939789271
47469,38.61889784151841,-86.6117504899881
47433,39.35571579151205,-86.6550209719416
47243,38.67186102384624,-85.48166075230654
